seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	16346342	16346435	94	*	X00931	27129	16340523	16346089	5567	-	252	upstream	252	HSPB7
chr1	16353604	16353680	77	*	X00932	1188	16355621	16383821	28201	+	1940	upstream	1940	CLCNKB
chr1	16353733	16353852	120	*	X00933	1188	16355621	16383821	28201	+	1768	upstream	1768	CLCNKB
chr1	16354611	16354985	375	*	X00934	1188	16355621	16383821	28201	+	635	upstream	635	CLCNKB
chr1	16355031	16355165	135	*	X00935	1188	16355621	16383821	28201	+	455	upstream	455	CLCNKB
chr1	16400340	16400402	63	*	X00944	348487	16384264	16400127	15864	-	212	upstream	212	FAM131C
chr1	16679678	16679782	105	*	X00976	54455	16576559	16678948	102390	-	729	upstream	729	FBXO42
chr1	17046318	17046355	38	*	X00987	284729	17017713	17046652	28940	-	0	inside	296	ESPNP
chr1	17092110	17092190	81	*	X00990	11223	17081129	17090975	9847	-	1134	upstream	1134	MST1L
chr1	17307797	17307961	165	*	X01006	4237	17300999	17308081	7083	-	0	inside	119	MFAP2
chr1	17446538	17446702	165	*	X01013	11240	17393256	17445948	52693	-	589	upstream	589	PADI2
chr1	17446898	17447062	165	*	X01014	11240	17393256	17445948	52693	-	949	upstream	949	PADI2
chr1	17767158	17767277	120	*	X01040	55920	17733251	17766250	33000	-	907	upstream	907	RCC2
chr1	18433956	18434037	82	*	X01098	84966	18434240	18704977	270738	+	202	upstream	202	IGSF21
chr1	18806650	18806739	90	*	X01156	127707	18807424	18812480	5057	+	684	upstream	684	KLHDC7A
chr1	18807150	18807344	195	*	X01157	127707	18807424	18812480	5057	+	79	upstream	79	KLHDC7A
chr1	18956098	18956262	165	*	X01169	5081	18957500	19075360	117861	+	1237	upstream	1237	PAX7
chr1	18956988	18957030	43	*	X01170	5081	18957500	19075360	117861	+	469	upstream	469	PAX7
chr1	19231033	19231133	101	*	X01217	8659	19197924	19229293	31370	-	1739	upstream	1739	ALDH4A1
chr1	19600876	19600954	79	*	X01231	246181	19592476	19600568	8093	-	307	upstream	307	AKR7L
chr1	19637976	19638137	162	*	X01232	54896	19638740	19658922	20183	+	602	upstream	602	SLC66A1
chr1	20142988	20143137	150	*	X01258	54546	20140522	20141771	1250	-	1216	upstream	1216	RNF186
chr1	20511259	20511290	32	*	X01274	127733	20512578	20519942	7365	+	1287	upstream	1287	UBXN10
chr1	20617335	20617396	62	*	X01282	127731	20617412	20681387	63976	+	15	upstream	15	VWA5B1
chr1	20878336	20878485	150	*	X01299	163933	20878932	20881513	2582	+	446	upstream	446	FAM43B
chr1	20915187	20915351	165	*	X01301	978	20915444	20945400	29957	+	92	upstream	92	CDA
chr1	21060438	21060527	90	*	X01310	400745	21046225	21059330	13106	-	1107	upstream	1107	SH2D5
chr1	21618767	21618840	74	*	X01320	100506801	21619783	21626362	6580	+	942	upstream	942	ECE1-AS1
chr1	23345295	23345365	71	*	X01488	23028	23345941	23410184	64244	+	575	upstream	575	KDM1A
chr1	23671711	23671815	105	*	X01499	10236	23636276	23670853	34578	-	857	upstream	857	HNRNPR
chr1	23671880	23671954	75	*	X01500	10236	23636276	23670853	34578	-	1026	upstream	1026	HNRNPR
chr1	23751209	23751212	4	*	X01505	6920	23707555	23751261	43707	-	0	inside	48	TCEA3
chr1	23886254	23886403	150	*	X01515	3399	23884421	23886285	1865	-	0	overlapStart	0	ID3
chr1	23886764	23886868	105	*	X01516	3399	23884421	23886285	1865	-	478	upstream	478	ID3
chr1	24105831	24105950	120	*	X01540	100506963	24086872	24104787	17916	-	1043	upstream	1043	ELOA-AS1
chr1	24165067	24165152	86	*	X01543	3155	24128367	24165110	36744	-	0	overlapStart	0	HMGCL
chr1	24438717	24438791	75	*	X01550	127294	24382531	24438665	56135	-	51	upstream	51	MYOM3
chr1	24439898	24439904	7	*	X01551	127294	24382531	24438665	56135	-	1232	upstream	1232	MYOM3
chr1	24514565	24514684	120	*	X01556	163702	24480647	24513765	33119	-	799	upstream	799	IFNLR1
chr1	24644653	24644772	120	*	X01570	57822	24645812	24690970	45159	+	1039	upstream	1039	GRHL3
chr1	24644936	24645115	180	*	X01571	57822	24645812	24690970	45159	+	696	upstream	696	GRHL3
chr1	24645553	24645775	223	*	X01572	57822	24645812	24690970	45159	+	36	upstream	36	GRHL3
chr1	26144343	26144462	120	*	X01660	56181	26146397	26159433	13037	+	1934	upstream	1934	MTFR1L
chr1	26144984	26145088	105	*	X01661	56181	26146397	26159433	13037	+	1308	upstream	1308	MTFR1L
chr1	26187709	26187873	165	*	X01665	79000	26160497	26185848	25352	-	1860	upstream	1860	AUNIP
chr1	26197969	26198058	90	*	X01667	164091	26187975	26197744	9770	-	224	upstream	224	PAQR7
chr1	26325600	26325659	60	*	X01672	5051	26286258	26324648	38391	-	951	upstream	951	PAFAH2
chr1	26325780	26325914	135	*	X01673	5051	26286258	26324648	38391	-	1131	upstream	1131	PAFAH2
chr1	26347044	26347071	28	*	X01675	2134	26348271	26362954	14684	+	1199	upstream	1199	EXTL1
chr1	26347695	26347814	120	*	X01676	2134	26348271	26362954	14684	+	456	upstream	456	EXTL1
chr1	26485437	26485556	120	*	X01683	79927	26485511	26489119	3609	+	0	overlapStart	0	FAM110D
chr1	26504056	26504190	135	*	X01689	10256	26503981	26516375	12395	+	0	inside	74	CNKSR1
chr1	26517148	26517312	165	*	X01690	378807	26517119	26529033	11915	+	0	inside	28	CATSPER4
chr1	26517337	26517441	105	*	X01691	378807	26517119	26529033	11915	+	0	inside	217	CATSPER4
chr1	26642949	26642974	26	*	X01707	1043	26644411	26647014	2604	+	1436	upstream	1436	CD52
chr1	26643049	26643068	20	*	X01708	1043	26644411	26647014	2604	+	1342	upstream	1342	CD52
chr1	26643202	26643236	35	*	X01709	1043	26644411	26647014	2604	+	1174	upstream	1174	CD52
chr1	26643331	26643351	21	*	X01710	1043	26644411	26647014	2604	+	1059	upstream	1059	CD52
chr1	26700429	26700518	90	*	X01719	257101	26688125	26699266	11142	-	1162	upstream	1162	ZNF683
chr1	26735624	26735743	120	*	X01722	79727	26737269	26756219	18951	+	1525	upstream	1525	LIN28A
chr1	26736654	26736667	14	*	X01723	79727	26737269	26756219	18951	+	601	upstream	601	LIN28A
chr1	26855938	26856043	106	*	X01731	6195	26856249	26901520	45272	+	205	upstream	205	RPS6KA1
chr1	27189497	27189601	105	*	X01747	2810	27189633	27190947	1315	+	31	upstream	31	SFN
chr1	27481247	27481340	94	*	X01774	6548	27425300	27481621	56322	-	0	inside	280	SLC9A1
chr1	27709958	27710107	150	*	X01790	388611	27705596	27709805	4210	-	152	upstream	152	CD164L2
chr1	27718485	27718694	210	*	X01791	2827	27719148	27722317	3170	+	453	upstream	453	GPR3
chr1	27818426	27818545	120	*	X01800	10163	27730734	27816678	85945	-	1747	upstream	1747	WASF2
chr1	28098761	28098782	22	*	X01878	23673	28099694	28150963	51270	+	911	upstream	911	STX12
chr1	28285950	28286069	120	*	X01882	55113	28286504	28294604	8101	+	434	upstream	434	XKR8
chr1	28585343	28585462	120	*	X01887	83667	28585963	28609002	23040	+	500	upstream	500	SESN2
chr1	29062988	29063038	51	*	X01892	51441	29063133	29096287	33155	+	94	upstream	94	YTHDF2
chr1	29211821	29211878	58	*	X01901	2035	29213603	29446558	232956	+	1724	upstream	1724	EPB41
chr1	29212959	29213063	105	*	X01902	2035	29213603	29446558	232956	+	539	upstream	539	EPB41
chr1	29213297	29213307	11	*	X01903	2035	29213603	29446558	232956	+	295	upstream	295	EPB41
chr1	29451846	29451901	56	*	X01909	399474	29445937	29450421	4485	-	1424	upstream	1424	TMEM200B
chr1	31196828	31196832	5	*	X01983	4146	31184124	31196432	12309	-	395	upstream	395	MATN1
chr1	31712908	31712921	14	*	X02038	79570	31652592	31712734	60143	-	173	upstream	173	NKAIN1
chr1	31847638	31847757	120	*	X02039	2170	31838100	31845923	7824	-	1714	upstream	1714	FABP3
chr1	32040883	32040890	8	*	X02054	64129	32042086	32053287	11202	+	1195	upstream	1195	TINAGL1
chr1	32042277	32042396	120	*	X02055	64129	32042086	32053287	11202	+	0	inside	190	TINAGL1
chr1	32083144	32083200	57	*	X02062	3061	32083301	32098119	14819	+	100	upstream	100	HCRTR1
chr1	32171034	32171198	165	*	X02070	1307	32117848	32169768	51921	-	1265	upstream	1265	COL16A1
chr1	32224159	32224488	330	*	X02081	100423028	32224261	32224336	76	-	0	includeFeature	0	MIR4254
chr1	32224924	32225103	180	*	X02082	100423028	32224261	32224336	76	-	587	upstream	587	MIR4254
chr1	32230989	32231123	135	*	X02085	576	32192718	32229648	36931	-	1340	upstream	1340	ADGRB2
chr1	32404449	32404534	86	*	X02103	8073	32372022	32403988	31967	-	460	upstream	460	PTP4A2
chr1	32405282	32405371	90	*	X02104	8073	32372022	32403988	31967	-	1293	upstream	1293	PTP4A2
chr1	32478845	32479076	232	*	X02110	10657	32479295	32526460	47166	+	218	upstream	218	KHDRBS1
chr1	32664400	32664519	120	*	X02117	79140	32666202	32670991	4790	+	1682	upstream	1682	CCDC28B
chr1	32665889	32666008	120	*	X02118	79140	32666202	32670991	4790	+	193	upstream	193	CCDC28B
chr1	32686589	32686693	105	*	X02120	8668	32687185	32697205	10021	+	491	upstream	491	EIF3I
chr1	32715599	32715733	135	*	X02123	3932	32716840	32751766	34927	+	1106	upstream	1106	LCK
chr1	32716822	32716926	105	*	X02124	3932	32716840	32751766	34927	+	0	overlapStart	0	LCK
chr1	32802734	32802838	105	*	X02138	65108	32799430	32801840	2411	-	893	upstream	893	MARCKSL1
chr1	32803143	32803333	191	*	X02139	65108	32799430	32801840	2411	-	1302	upstream	1302	MARCKSL1
chr1	33337831	33337965	135	*	X02176	252995	33327869	33338082	10214	-	0	inside	116	FNDC5
chr1	33338071	33338107	37	*	X02177	252995	33327869	33338082	10214	-	0	overlapStart	0	FNDC5
chr1	33351379	33351648	270	*	X02179	3208	33352098	33360247	8150	+	449	upstream	449	HPCA
chr1	33351709	33351768	60	*	X02180	3208	33352098	33360247	8150	+	329	upstream	329	HPCA
chr1	33648382	33648546	165	*	X02200	55223	33611003	33647671	36669	-	710	upstream	710	TRIM62
chr1	35225175	35225294	120	*	X02274	127534	35225342	35229325	3984	+	47	upstream	47	GJB4
chr1	35246671	35246744	74	*	X02279	2707	35246790	35251967	5178	+	45	upstream	45	GJB3
chr1	35258131	35258265	135	*	X02281	2701	35258171	35261348	3178	+	0	overlapStart	0	GJA4
chr1	35543289	35543378	90	*	X02294	79830	35544972	35581455	36484	+	1593	upstream	1593	ZMYM1
chr1	36024316	36024435	120	*	X02304	79932	35899091	36023551	124461	-	764	upstream	764	KIAA0319L
chr1	36024496	36024690	195	*	X02305	79932	35899091	36023551	124461	-	944	upstream	944	KIAA0319L
chr1	36025194	36025433	240	*	X02306	79932	35899091	36023551	124461	-	1642	upstream	1642	KIAA0319L
chr1	36184750	36184869	120	*	X02314	127703	36179477	36184790	5314	-	0	overlapStart	0	C1orf216
chr1	36273342	36273443	102	*	X02319	192670	36273828	36323490	49663	+	384	upstream	384	AGO4
chr1	36395242	36395361	120	*	X02323	192669	36396319	36522063	125745	+	957	upstream	957	AGO3
chr1	36553842	36553905	64	*	X02324	54936	36554453	36559533	5081	+	547	upstream	547	ADPRS
chr1	36554161	36554291	131	*	X02325	54936	36554453	36559533	5081	+	161	upstream	161	ADPRS
chr1	36620189	36620206	18	*	X02333	55700	36621803	36646441	24639	+	1596	upstream	1596	MAP7D1
chr1	36620717	36620857	141	*	X02334	55700	36621803	36646441	24639	+	945	upstream	945	MAP7D1
chr1	36621038	36621146	109	*	X02335	55700	36621803	36646441	24639	+	656	upstream	656	MAP7D1
chr1	36623337	36623501	165	*	X02336	27095	36602170	36621654	19485	-	1682	upstream	1682	TRAPPC3
chr1	36770716	36770805	90	*	X02351	79729	36771994	36790484	18491	+	1188	upstream	1188	SH3D21
chr1	36789969	36789973	5	*	X02353	55194	36787632	36789755	2124	-	213	upstream	213	EVA1B
chr1	36931529	36931648	120	*	X02359	64960	36921362	36930040	8679	-	1488	upstream	1488	MRPS15
chr1	36931709	36931783	75	*	X02360	64960	36921362	36930040	8679	-	1668	upstream	1668	MRPS15
chr1	38231339	38231356	18	*	X02486	284656	38179553	38230824	51272	-	514	upstream	514	EPHA10
chr1	38231567	38231656	90	*	X02487	284656	38179553	38230824	51272	-	742	upstream	742	EPHA10
chr1	38412436	38412492	57	*	X02490	3633	38326369	38412729	86361	-	0	inside	236	INPP5B
chr1	38471889	38471993	105	*	X02498	2275	38462442	38471187	8746	-	701	upstream	701	FHL3
chr1	38472069	38472111	43	*	X02499	2275	38462442	38471187	8746	-	881	upstream	881	FHL3
chr1	38472190	38472203	14	*	X02500	2275	38462442	38471187	8746	-	1002	upstream	1002	FHL3
chr1	38552925	38553013	89	*	X02513	100500801	38554903	38555001	99	+	1889	upstream	1889	MIR3659
chr1	38554426	38554560	135	*	X02514	100500801	38554903	38555001	99	+	342	upstream	342	MIR3659
chr1	39407351	39407359	9	*	X02581	54933	39351479	39407456	55978	-	0	inside	96	RHBDL2
chr1	39456329	39456362	34	*	X02582	79647	39456916	39471737	14822	+	553	upstream	553	AKIRIN1
chr1	39546557	39546684	128	*	X02585	23499	39547089	39952810	405722	+	404	upstream	404	MACF1
chr1	40156883	40156899	17	*	X02612	51440	40144645	40157089	12445	-	0	inside	189	HPCAL4
chr1	40783232	40783246	15	*	X02628	1298	40766163	40783060	16898	-	171	upstream	171	COL9A2
chr1	40783262	40783366	105	*	X02629	1298	40766163	40783060	16898	-	201	upstream	201	COL9A2
chr1	40783412	40783531	120	*	X02630	1298	40766163	40783060	16898	-	351	upstream	351	COL9A2
chr1	40783742	40783831	90	*	X02631	1298	40766163	40783060	16898	-	681	upstream	681	COL9A2
chr1	40838654	40838743	90	*	X02632	64744	40839378	40888998	49621	+	634	upstream	634	SMAP2
chr1	40839164	40839209	46	*	X02633	64744	40839378	40888998	49621	+	168	upstream	168	SMAP2
chr1	41131568	41131605	38	*	X02642	9783	41086352	41131324	44973	-	243	upstream	243	RIMS3
chr1	41158087	41158103	17	*	X02644	100130557	41154752	41157933	3182	-	153	upstream	153	NFYC-AS1
chr1	41248951	41249100	150	*	X02652	9132	41249684	41306124	56441	+	583	upstream	583	KCNQ4
chr1	41328297	41328386	90	*	X02672	163732	41326728	41328018	1291	-	278	upstream	278	CITED4
chr1	41329671	41329760	90	*	X02673	163732	41326728	41328018	1291	-	1652	upstream	1652	CITED4
chr1	41952318	41952422	105	*	X02732	1907	41944446	41950344	5899	-	1973	upstream	1973	EDN2
chr1	42502236	42502299	64	*	X02756	59269	41972036	42501596	529561	-	639	upstream	639	HIVEP3
chr1	42927875	42927979	105	*	X02764	728621	42929025	43120335	191311	+	1045	upstream	1045	CCDC30
chr1	43123134	43123253	120	*	X02765	10465	43124048	43142429	18382	+	794	upstream	794	PPIH
chr1	43206373	43206477	105	*	X02768	149461	43198764	43205925	7162	-	447	upstream	447	CLDN19
chr1	43206538	43206735	198	*	X02769	149461	43198764	43205925	7162	-	612	upstream	612	CLDN19
chr1	43206766	43206955	190	*	X02770	149461	43198764	43205925	7162	-	840	upstream	840	CLDN19
chr1	43231350	43231454	105	*	X02771	79078	43232916	43241413	8498	+	1461	upstream	1461	C1orf50
chr1	43251615	43251674	60	*	X02777	100129924	43253661	43263901	10241	+	1986	upstream	1986	TMEM269
chr1	43736853	43736972	120	*	X02815	10969	43629845	43736607	106763	-	245	upstream	245	EBNA1BP2
chr1	43737697	43737830	134	*	X02816	10969	43629845	43736607	106763	-	1089	upstream	1089	EBNA1BP2
chr1	43750953	43751072	120	*	X02818	149466	43747557	43751288	3732	-	0	inside	215	C1orf210
chr1	43751332	43751466	135	*	X02819	149466	43747557	43751288	3732	-	43	upstream	43	C1orf210
chr1	43751617	43751826	210	*	X02820	149466	43747557	43751288	3732	-	328	upstream	328	C1orf210
chr1	43765068	43765202	135	*	X02821	7075	43766566	43791552	24987	+	1363	upstream	1363	TIE1
chr1	43823780	43823839	60	*	X02827	991	43824626	43828873	4248	+	786	upstream	786	CDC20
chr1	43855155	43855289	135	*	X02832	23334	43855556	43919918	64363	+	266	upstream	266	SZT2
chr1	43855155	43855289	135	*	X02832	112950	43849579	43855483	5905	-	0	inside	193	MED8
chr1	43995295	43995474	180	*	X02837	5792	43996547	44089343	92797	+	1072	upstream	1072	PTPRF
chr1	43995790	43995879	90	*	X02838	5792	43996547	44089343	92797	+	667	upstream	667	PTPRF
chr1	44114717	44114881	165	*	X02864	9682	44115797	44171189	55393	+	915	upstream	915	KDM4A
chr1	44170772	44170891	120	*	X02866	6487	44171495	44396837	225343	+	603	upstream	603	ST3GAL3
chr1	44439997	44440101	105	*	X02880	533	44440602	44443972	3371	+	500	upstream	500	ATP6V0B
chr1	44444316	44444480	165	*	X02882	8704	44444874	44456843	11970	+	393	upstream	393	B4GALT2
chr1	44456857	44456976	120	*	X02883	149473	44457280	44462198	4919	+	303	upstream	303	CCDC24
chr1	45009211	45009315	105	*	X02934	100847089	45011165	45011224	60	+	1849	upstream	1849	MIR5584
chr1	45141008	45141097	90	*	X02956	79639	45119501	45140099	20599	-	908	upstream	908	TMEM53
chr1	45264817	45264951	135	*	X02965	1263	45266036	45271667	5632	+	1084	upstream	1084	PLK3
chr1	45273577	45273666	90	*	X02968	149478	45274154	45279801	5648	+	487	upstream	487	BTBD19
chr1	45273577	45273666	90	*	X02968	343521	45271586	45272957	1372	-	619	upstream	619	TCTEX1D4
chr1	45274109	45274213	105	*	X02969	149478	45274154	45279801	5648	+	0	overlapStart	0	BTBD19
chr1	45274109	45274213	105	*	X02969	343521	45271586	45272957	1372	-	1151	upstream	1151	TCTEX1D4
chr1	45476006	45476170	165	*	X02976	7389	45477805	45481341	3537	+	1634	upstream	1634	UROD
chr1	45792457	45792477	21	*	X02979	84842	45792545	45794346	1802	+	67	upstream	67	HPDL
chr1	46640343	46640507	165	*	X02998	10103	46640749	46651634	10886	+	241	upstream	241	TSPAN1
chr1	46767408	46767522	115	*	X03006	7388	46769380	46782447	13068	+	1857	upstream	1857	UQCRH
chr1	46972842	46972961	120	*	X03034	127343	46972668	46979886	7219	+	0	inside	173	DMBX1
chr1	47016559	47016738	180	*	X03052	148930	47011316	47016887	5572	-	0	inside	148	KNCN
chr1	47083384	47083518	135	*	X03062	148932	47073387	47082563	9177	-	820	upstream	820	MOB3C
chr1	47083384	47083518	135	*	X03062	8569	47023079	47082563	59485	-	820	upstream	820	MKNK1
chr1	47697612	47697733	122	*	X03089	6886	47681963	47697892	15930	-	0	inside	158	TAL1
chr1	47698362	47698481	120	*	X03090	6886	47681963	47697892	15930	-	469	upstream	469	TAL1
chr1	47881579	47881839	261	*	X03094	2301	47881744	47883724	1981	+	0	overlapStart	0	FOXE3
chr1	50889688	50889709	22	*	X03184	63950	50883223	50889119	5897	-	568	upstream	568	DMRTA2
chr1	50889835	50889954	120	*	X03185	63950	50883223	50889119	5897	-	715	upstream	715	DMRTA2
chr1	51433389	51433441	53	*	X03193	1031	51433608	51440309	6702	+	166	upstream	166	CDKN2C
chr1	53527274	53527311	38	*	X03242	127435	53527724	53551174	23451	+	412	upstream	412	PODN
chr1	53794713	53794832	120	*	X03267	7804	53708041	53793821	85781	-	891	upstream	891	LRP8
chr1	54410693	54410812	120	*	X03319	115353	54411999	54433841	21843	+	1186	upstream	1186	LRRC42
chr1	54412855	54413017	163	*	X03320	51668	54387234	54411288	24055	-	1566	upstream	1566	HSPB11
chr1	55007403	55007507	105	*	X03384	26027	55007930	55100417	92488	+	422	upstream	422	ACOT11
chr1	55230483	55230509	27	*	X03403	25973	55222571	55230226	7656	-	256	upstream	256	PARS2
chr1	55463783	55463962	180	*	X03423	7809	55464617	55474465	9849	+	654	upstream	654	BSND
chr1	55503694	55503768	75	*	X03430	255738	55505149	55530526	25378	+	1380	upstream	1380	PCSK9
chr1	55679451	55679600	150	*	X03433	100507634	55681081	55683128	2048	+	1480	upstream	1480	LOC100507634
chr1	55679646	55679900	255	*	X03434	100507634	55681081	55683128	2048	+	1180	upstream	1180	LOC100507634
chr1	57109824	57110003	180	*	X03466	5563	57110990	57181008	70019	+	986	upstream	986	PRKAA2
chr1	57110425	57110481	57	*	X03467	5563	57110990	57181008	70019	+	508	upstream	508	PRKAA2
chr1	59043211	59043330	120	*	X03511	4070	59041095	59043166	2072	-	44	upstream	44	TACSTD2
